Server-Crownlabs-performance,Server-Crownlabs-consumption,Server-Crownlabs-consumption (correction),Server-Polycube-performance,Server-Polycube-consumption,Raspberry-performance,Raspberry-consumption,Desktop-performance,Desktop-consumption,Matebook-performance,Matebook-consumption,Laptop-Fulvio-performance,Laptop-Fulvio-consumption
1964.32748097946,256,206,1213.26861331523,174.45,252.787942743039,3.65,1759.81048460767,31.4,2386.02480695322,30,1871.85148334702,30.161
3894.58365511909,277,227,2391.29919406307,178.75,492.333800422031,4.26,3409.88317245402,42.6,4526.4593109737,35.7,3156.38042569991,26.29
5709.26445994101,289,239,3544.82349641963,183.3,718.791525441643,4.96,4924.10986153963,56.7,6475.60243396496,39.3,4090.48603477741,28.4175
7533.56083602389,300,250,4672.27996287014,185.8,923.04870162475,5.67,6345.98225030042,72,8140.72053448718,40.3,4818.56442490472,27.608
9158.32938261237,310,260,5769.17151056986,190.9,1175.83664436779,9.32,6928.55703904671,72.1,9605.02569447682,42.5,5147.09897342483,27.67
10680.8630297391,318,268,6837.76493242813,193.9,1415.38250204678,9.93,7458.23955125937,73.4,10947.3266798826,44.4,5401.86650620545,29.14
12237.3450592038,329,279,7879.04590332641,194.9,1641.84022706639,10.63,7925.99858874571,74.9,12182.4612782241,46.2,5618.49502463075,27.56
13876.2306307893,339,289,8894.00039761392,198.75,1846.0974032495,11.34,8314.35645504033,79,13213.8341694359,47.4,5826.84127182209,28.65
15332.7393848643,349,299,9882.25175378354,203.425,2098.88534599254,14.99,10074.166939648,110.4,13668.8957410226,47.1,7698.69275516911,58.811
16695.4221746425,356,306,10842.4253408358,212.1,2338.43120367153,15.6,11724.2396274943,121.6,14002.2215262357,47.2,8983.221697522,54.94
18177.617250217,368,318,11786.3217606449,211.55,2564.88892869114,16.3,13238.46631658,135.7,14353.4550899037,47.5,9917.3273065995,57.0675
19627.3972451975,379,329,12717.1083999958,216,2769.14610487425,17.01,14660.3387053408,151,14635.6297709713,49.3,10645.4056967268,56.258
21057.8350995886,390,340,13630.9972835603,224.5,3021.93404761729,20.66,15242.913494087,151.1,14807.9399544678,47.7,10973.9402452469,56.32
22415.8504614147,401,351,14505.1838289631,224.45,3261.47990529628,21.27,15772.5960062997,152.4,15081.0847817175,48.6,11228.7077780275,57.79
23742.9984978543,413,363,14862.182552114,225.3,3487.93763031589,21.97,16240.355043786,153.9,15118.0736321471,48,11445.3362964528,56.21
25085.1415831414,425,375,15213.5612094191,226.525,3692.194806499,22.68,16628.7129100807,158,15192.2674896976,50.1,11653.6825436442,57.3
26341.1710507325,436,386,15549.4972309876,227.5,3944.98274924204,26.33,18388.5233946883,189.4,17578.2922966508,80.1,13525.5340269912,87.461
27529.6062006385,441.25,391.25,15891.9294941253,228.7,4184.52860692103,26.94,20038.5960825347,200.6,19718.7268006713,85.8,14810.0629693441,83.59
28693.7146358306,454,404,16210.7333372066,234.025,4410.98633194064,27.64,21552.8227716203,214.7,21667.8699236626,89.4,15744.1685784216,85.7175
29853.1517008719,468,418,16517.87831691,233.4,4615.24350812375,28.35,22974.6951603811,230,23332.9880241848,90.4,16472.2469685489,84.908
30973.0631174162,480,430,16812.2410474957,210.4,4868.03145086679,32,23557.2699491274,230.1,24797.2931841744,92.6,16800.781517069,84.97
32035.2856600518,495,445,17114.4836826702,232.6,5107.57730854578,32.61,24086.95246134,231.4,26139.5941695802,94.5,17055.5490498496,86.44
33009.1325337797,503,453,17409.5252810038,233.4,5334.03503356539,33.31,24554.7114988264,232.9,27374.7287679217,96.3,17272.1775682749,84.86
33977.6836971035,520,470,17683.0983219244,237.15,5538.2922097485,34.02,24943.069365121,237,28406.1016591335,97.5,17480.5238154663,85.95
34806.404964692,515.25,465.25,17948.3300310113,237.75,5791.08015249154,37.67,26702.8798497287,268.4,28861.1632307202,97.2,19352.3752988133,116.111
35676.4719854411,528,478,18254.0266634683,237.15,6030.62601017053,38.28,28352.952537575,279.6,29194.4890159333,97.3,20636.9042411662,112.24
36493.7161581875,528,478,18489.268335222,234.85,6257.08373519014,38.98,29867.1792266606,293.7,29545.7225796013,97.6,21571.0098502437,114.3675
37320.6953259522,524,474,18766.8010167855,235.9,6461.34091137325,39.69,31289.0516154214,309,29827.8972606689,99.4,22299.088240371,113.558
38014.171527672,527,477,19980.0696301007,410.35,6714.12885411629,43.34,31871.6264041677,309.1,30000.2074441654,97.8,22627.6227888911,113.62
38661.7230511973,527,477,21158.1002108486,414.65,6953.67471179528,43.95,32401.3089163804,310.4,30273.3522714151,98.7,22882.3903216717,115.09
39334.7077158951,525,475,22311.6245132051,419.2,7180.13243681489,44.65,32869.0679538667,311.9,30310.3411218447,98.1,23099.018840097,113.51
40001.045323125,529,479,23439.0809796556,421.7,7384.389612998,45.36,33257.4258201613,316,30384.5349793952,100.2,23307.3650872884,114.6
40366.8635502994,530,480,24535.9725273554,426.8,7637.17755574104,49.01,35017.236304769,347.4,32770.5597863484,130.2,25179.2165706354,144.761
40751.0054926959,526,476,25604.5659492136,429.8,7876.72341342003,49.62,36667.3089926153,358.6,34910.9942903689,135.9,26463.7455129883,140.89
41221.4782014774,528.25,478.25,26645.8469201119,430.8,8103.18113843964,50.32,38181.5356817009,372.7,36860.1374133602,139.5,27397.8511220658,143.0175
42001.4023220885,528,478,27660.8014143994,434.65,8307.43831462275,51.03,39603.4080704617,388,38525.2555138824,140.5,28125.9295121931,142.208
42506.4111462894,529,479,28649.052770569,439.325,8560.22625736579,54.68,40185.982859208,388.1,39989.560673872,142.7,28454.4640607132,142.27
43171.596968424,526,476,29609.2263576213,448,8799.77211504478,55.29,40715.6653714207,389.4,41331.8616592778,144.6,28709.2315934938,143.74
43581.333445146,527,477,30553.1227774304,447.45,9026.22984006439,55.99,41183.424408907,390.9,42566.9962576193,146.4,28925.8601119191,142.16
44084.930356624,529,479,31483.9094167813,451.9,9230.4870162475,56.7,41571.7822752017,395,43598.3691488311,147.6,29134.2063591105,143.25
44327.7903447392,526,476,32397.7983003458,460.4,9483.27495899054,60.35,43331.5927598093,426.4,44053.4307204178,147.3,31006.0578424575,173.411
44420.0843220642,530,480,33271.9848457486,460.35,9722.82081666953,60.96,44981.6654476557,437.6,44386.7565056309,147.4,32290.5867848104,169.54
44925.0259342396,525,475,33628.9835688995,461.2,9949.27854168914,61.66,46495.8921367413,451.7,44737.9900692989,147.7,33224.6923938879,171.6675
45489.5122644227,527,477,33980.3622262046,462.425,10153.5357178723,62.37,47917.7645255021,467,45020.1647503665,149.5,33952.7707840152,170.858
45907.9759786892,530,480,34316.2982477731,463.4,10406.3236606153,66.02,48500.3393142484,467.1,45192.474933863,147.9,34281.3053325353,170.92
46429.5103320134,534,484,34658.7305109108,464.6,10645.8695182943,66.63,49030.021826461,468.4,45465.6197611127,148.8,34536.0728653159,172.39
46887.9672432506,529,479,34977.5343539921,469.925,10872.3272433139,67.33,49497.7808639474,469.9,45502.6086115423,148.2,34752.7013837412,170.81
47143.8682668302,526,476,35284.6793336955,469.3,11076.584419497,68.04,49886.138730242,474,45576.8024690928,150.3,34961.0476309325,171.9
47487.4196057059,531,481,35579.0420642812,446.3,11329.37236224,71.69,51645.9492148497,505.4,47962.827276046,180.3,36832.8991142796,202.061
47811.8340369214,530,480,35881.2846994557,468.5,11568.918219919,72.3,53296.021902696,516.6,50103.2617800665,186,38117.4280566324,198.19
48018.9427889287,524,474,36176.3262977893,469.3,11795.3759449386,73,54810.2485917816,530.7,52052.4049030578,189.6,39051.53366571,200.3175
48658.6116874084,530,480,36449.8993387099,473.05,11999.6331211217,73.71,56232.1209805424,546,53717.52300358,190.6,39779.6120558373,199.508
48716.3716464351,529,479,36715.1310477968,473.65,12252.4210638648,77.36,56814.6957692887,546.1,55181.8281635696,192.8,40108.1466043574,199.57
49032.5424825638,533,483,37020.8276802538,473.05,12491.9669215438,77.97,57344.3782815014,547.4,56524.1291489754,194.7,40362.914137138,201.04
