"Time","docker cpu usage","powertop measure","smart plug measure","timestamp"
2022-02-22 09:53:45,0,2.66,10.9,1645520025
2022-02-22 09:53:50,0,2.66,11.0,1645520029
2022-02-22 09:53:55,0,2.35,11.0,1645520035
2022-02-22 09:54:00,0,2.35,11.0,1645520039
2022-02-22 09:54:05,0,2.57,14.0,1645520045
2022-02-22 09:54:10,0,2.57,14.0,1645520049
2022-02-22 09:54:15,0,2.57,14.0,1645520055
2022-02-22 09:54:20,0,2.48,14.0,1645520059
2022-02-22 09:54:25,0,2.48,12.0,1645520065
2022-02-22 09:54:30,99.7,2.48,12.0,1645520069
2022-02-22 09:54:35,99.9,13.8,12.0,1645520075
2022-02-22 09:54:40,99.9,13.8,26.8,1645520079
2022-02-22 09:54:45,100,13.8,26.8,1645520085
2022-02-22 09:54:50,99.7,15,26.8,1645520089
2022-02-22 09:54:55,100,15,27.2,1645520095
2022-02-22 09:55:00,100,15.3,27.2,1645520099
2022-02-22 09:55:05,100,15.3,27.2,1645520105
2022-02-22 09:55:10,100,15.3,27.6,1645520109
2022-02-22 09:55:15,99.9,15.4,27.6,1645520115
2022-02-22 09:55:20,99.9,15.4,27.6,1645520119
2022-02-22 09:55:25,99.9,15.7,27.5,1645520125
2022-02-22 09:55:30,100,15.7,27.5,1645520129
2022-02-22 09:55:35,100,15.7,27.5,1645520135
2022-02-22 09:55:40,100,15.8,27.5,1645520139
2022-02-22 09:55:45,100,15.8,31.4,1645520145
2022-02-22 09:55:50,100,15.8,31.4,1645520149
2022-02-22 09:55:55,99.9,16.1,31.4,1645520155
2022-02-22 09:56:00,99.9,16.1,29.8,1645520159
2022-02-22 09:56:05,99.8,18,29.8,1645520165
2022-02-22 09:56:10,100,18,29.8,1645520169
2022-02-22 09:56:15,100,18,30.1,1645520175
2022-02-22 09:56:20,100,17.6,30.1,1645520179
2022-02-22 09:56:25,100,17.6,30.1,1645520185
2022-02-22 09:56:30,99.9,17.6,29.9,1645520189
2022-02-22 09:56:35,100,17.7,29.9,1645520195
2022-02-22 09:56:40,100,17.7,29.9,1645520199
2022-02-22 09:56:45,100,18.7,31.3,1645520205
2022-02-22 09:56:50,100,18.7,31.3,1645520209
2022-02-22 09:56:55,102,18.7,31.3,1645520215
2022-02-22 09:57:00,102,17.5,31.3,1645520219
2022-02-22 09:57:05,99.9,17.5,31.0,1645520225
2022-02-22 09:57:10,100,17.5,31.0,1645520229
2022-02-22 09:57:15,99.8,18.7,31.0,1645520235
2022-02-22 09:57:20,99.8,18.7,28.5,1645520239
2022-02-22 09:57:25,99.8,17.2,28.5,1645520245
2022-02-22 09:57:30,100,17.2,28.5,1645520249
2022-02-22 09:57:35,100,17.2,31.1,1645520255
2022-02-22 09:57:40,100,18.3,31.1,1645520259
2022-02-22 09:57:45,99.7,18.3,31.1,1645520265
2022-02-22 09:57:50,100,18.3,30.8,1645520269
2022-02-22 09:57:55,99.9,18.4,30.8,1645520275
2022-02-22 09:58:00,99.9,18.4,30.9,1645520279
2022-02-22 09:58:05,100,19.4,31.9,1645520285
2022-02-22 09:58:10,100,19.4,31.9,1645520289
2022-02-22 09:58:15,99.8,19.4,31.9,1645520295
2022-02-22 09:58:20,99.8,19.9,31.9,1645520299
2022-02-22 09:58:25,101,19.9,32.9,1645520305
2022-02-22 09:58:30,100,19.9,32.9,1645520309
2022-02-22 09:58:35,99.9,19.9,32.9,1645520315
2022-02-22 09:58:40,99.9,19.9,31.7,1645520319
2022-02-22 09:58:45,102,17.1,31.7,1645520325
2022-02-22 09:58:50,100,17.1,31.7,1645520329
2022-02-22 09:58:55,99.7,17.1,31.4,1645520335
2022-02-22 09:59:00,99.7,19.2,31.4,1645520339
2022-02-22 09:59:05,81.6,19.2,31.4,1645520345
2022-02-22 09:59:10,99.9,19.2,31.6,1645520349
2022-02-22 09:59:15,99.9,16.9,31.6,1645520355
2022-02-22 09:59:20,99.9,16.9,31.6,1645520359
2022-02-22 09:59:25,99.9,16.8,30.3,1645520365
2022-02-22 09:59:30,101,16.8,30.3,1645520369
2022-02-22 09:59:35,100,16.8,30.3,1645520375
2022-02-22 09:59:40,100,18.4,30.3,1645520379
2022-02-22 09:59:45,99.8,18.4,30.5,1645520385
2022-02-22 09:59:50,100,18.4,30.5,1645520389
2022-02-22 09:59:55,100,17.2,30.5,1645520395
2022-02-22 10:00:00,100,17.2,31.4,1645520399
2022-02-22 10:00:05,99.7,18.8,31.4,1645520405
2022-02-22 10:00:10,104,18.8,31.4,1645520409
2022-02-22 10:00:15,99.9,18.8,34.7,1645520415
2022-02-22 10:00:20,99.9,22.9,34.7,1645520419
2022-02-22 10:00:25,100,22.9,34.7,1645520425
2022-02-22 10:00:30,99.9,22.9,27.9,1645520429
2022-02-22 10:00:35,100,20,27.9,1645520435
2022-02-22 10:00:40,100,20,27.9,1645520439
2022-02-22 10:00:45,100,23.6,36.7,1645520445
2022-02-22 10:00:50,100,23.6,36.7,1645520449
2022-02-22 10:00:55,0,23.6,36.7,1645520455
