date,infrastructure0-BASIC,infrastructure0-ORIGINAL,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-BASIC,infrastructure1-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-BASIC,infrastructure2-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-BASIC,infrastructure3-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-BASIC,infrastructure4-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-BASIC,infrastructure5-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-BASIC,infrastructure6-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-BASIC,infrastructure7-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-BASIC,infrastructure8-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-BASIC,infrastructure9-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-BASIC,infrastructure10-ORIGINAL,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-BASIC,infrastructure11-ORIGINAL,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-BASIC,infrastructure12-ORIGINAL,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-BASIC,infrastructure13-ORIGINAL,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-BASIC,infrastructure14-ORIGINAL,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-BASIC,infrastructure15-ORIGINAL,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-BASIC,infrastructure16-ORIGINAL,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-BASIC,infrastructure17-ORIGINAL,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-BASIC,infrastructure18-ORIGINAL,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-BASIC,infrastructure19-ORIGINAL,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:01:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:02:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:03:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:04:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:05:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:06:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:07:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:08:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
2021-12-14 15:09:00 +0000 UTC,637.560,1777.480,1971.742,881.822,875.600,2015.520,2108.467,999.124,1110.520,2250.440,2162.453,1123.046,1314.520,2454.440,2195.600,1233.728,1478.800,2618.720,2330.083,1351.030,1607.440,2747.360,2452.859,1576.718,1711.720,2851.640,2486.148,1589.015,1805.920,2945.840,2550.002,1896.050,1903.480,3043.400,2674.231,2014.025,2014.520,3154.440,2797.126,1937.540,2144.160,3284.080,2813.554,2273.088,2291.560,3431.480,2872.346,2436.378,2450.240,3590.160,3005.021,2570.524,2609.160,3749.080,3117.856,2715.596,2754.560,3894.480,3140.072,2922.088,2873.000,4012.920,3359.453,3149.056,2955.200,4095.120,3360.768,3144.656,3000.800,4140.720,3475.380,3050.800,3024.040,4163.960,3458.440,3074.040,3060.560,4200.480,3763.645,3110.560
