date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:01:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:02:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:03:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:04:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:05:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:06:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:07:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:08:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
2021-12-14 15:09:00 +0000 UTC,1573.083,527.043,1631.887,585.847,1879.556,833.516,1970.024,1185.494,2080.766,1296.236,2238.432,1453.902,2268.056,1483.526,2373.734,1850.714,2493.820,1970.800,2641.304,2118.284,2661.008,2137.988,2778.244,2516.734,2890.808,2629.298,3026.242,2764.732,3052.922,2791.412,3316.227,3316.227,3317.800,3317.800,3455.350,3455.350,3435.025,3435.025,3583.325,3583.325
