date,raspi-#0,raspi-#1,raspi-#2,raspi-#3,raspi-#4,raspi-#5,raspi-#6,raspi-#7,raspi-#8,raspi-#9,raspi-#10,raspi-#11,raspi-#12,raspi-#13,raspi-#14,raspi-#15,raspi-#16,raspi-#17,raspi-#18,raspi-#19,raspi-#20,raspi-#21,raspi-#22,raspi-#23,raspi-#24,raspi-#25,raspi-#26,raspi-#27,raspi-#28,raspi-#29,raspi-#30,raspi-#31,raspi-#32,raspi-#33,raspi-#34,raspi-#35,raspi-#36,raspi-#37,raspi-#38,raspi-#39,server-#0,server-#1,server-#2,server-#3,server-#4
2021-12-14 15:00:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:01:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:02:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:03:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:04:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:05:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:06:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:07:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:08:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
2021-12-14 15:09:00 +0000 UTC,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,21.668,77.235,3.287,3.287,3.287,3.287
