date,infrastructure0-OPTIMIZED,infrastructure0-ENHANCED,infrastructure1-OPTIMIZED,infrastructure1-ENHANCED,infrastructure2-OPTIMIZED,infrastructure2-ENHANCED,infrastructure3-OPTIMIZED,infrastructure3-ENHANCED,infrastructure4-OPTIMIZED,infrastructure4-ENHANCED,infrastructure5-OPTIMIZED,infrastructure5-ENHANCED,infrastructure6-OPTIMIZED,infrastructure6-ENHANCED,infrastructure7-OPTIMIZED,infrastructure7-ENHANCED,infrastructure8-OPTIMIZED,infrastructure8-ENHANCED,infrastructure9-OPTIMIZED,infrastructure9-ENHANCED,infrastructure10-OPTIMIZED,infrastructure10-ENHANCED,infrastructure11-OPTIMIZED,infrastructure11-ENHANCED,infrastructure12-OPTIMIZED,infrastructure12-ENHANCED,infrastructure13-OPTIMIZED,infrastructure13-ENHANCED,infrastructure14-OPTIMIZED,infrastructure14-ENHANCED,infrastructure15-OPTIMIZED,infrastructure15-ENHANCED,infrastructure16-OPTIMIZED,infrastructure16-ENHANCED,infrastructure17-OPTIMIZED,infrastructure17-ENHANCED,infrastructure18-OPTIMIZED,infrastructure18-ENHANCED,infrastructure19-OPTIMIZED,infrastructure19-ENHANCED
2021-12-14 15:00:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:01:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:02:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:03:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:04:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:05:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:06:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:07:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:08:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
2021-12-14 15:09:00 +0000 UTC,1341.200,469.500,1396.860,525.160,1590.017,718.317,1665.407,1011.632,1757.692,1103.917,1889.080,1235.305,1913.767,1259.992,2001.831,1565.981,2101.904,1666.054,2224.807,1788.957,2241.227,1805.377,2338.923,2120.998,2432.727,2214.802,2545.589,2327.664,2567.821,2349.896,2787.244,2787.244,2788.554,2788.554,2903.180,2903.180,2886.240,2886.240,3025.425,3025.425
