date,crownlabs,desktop,laptop-fulvio,raspi
2021-12-14 15:00:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:01:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:02:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:03:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:04:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:05:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:06:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:07:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:08:00 +0000 UTC,3.287,9.622,13.732,59.588
2021-12-14 15:09:00 +0000 UTC,3.287,9.622,13.732,59.588
