date,desktop-#0,desktop-#1,desktop-#2,desktop-#3,desktop-#4,desktop-#5,desktop-#6,desktop-#7,desktop-#8,desktop-#9,desktop-#10,desktop-#11,desktop-#12,desktop-#13,desktop-#14,desktop-#15,desktop-#16,desktop-#17,desktop-#18,desktop-#19,server-#0,server-#1,server-#2,server-#3,server-#4,server-#5,server-#6,server-#7,server-#8,server-#9
2021-12-14 15:00:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:01:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:02:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:03:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:04:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:05:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:06:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:07:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:08:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:09:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
2021-12-14 15:10:00,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,98.41,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
