date,infrastructure0-OPTIMIZED,infrastructure0-ORIGINAL,infrastructure1-OPTIMIZED,infrastructure1-ORIGINAL,infrastructure2-OPTIMIZED,infrastructure2-ORIGINAL,infrastructure3-OPTIMIZED,infrastructure3-ORIGINAL,infrastructure4-OPTIMIZED,infrastructure4-ORIGINAL,infrastructure5-OPTIMIZED,infrastructure5-ORIGINAL,infrastructure6-OPTIMIZED,infrastructure6-ORIGINAL,infrastructure7-OPTIMIZED,infrastructure7-ORIGINAL,infrastructure8-OPTIMIZED,infrastructure8-ORIGINAL,infrastructure9-OPTIMIZED,infrastructure9-ORIGINAL
2021-12-14 15:00:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:01:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:02:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:03:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:04:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:05:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:06:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:07:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:08:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:09:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
2021-12-14 15:10:00,44200,44200,58400,58400,72600,72600,86800,86800,101600,101600,115200,115200,129400,129400,143600,143600,157800,157800,172000,172000
